,Termin,"Dzień, godzina",Przedmiot,Typ,Nauczyciel,Sala
154,2026-04-27,Pn 13:15 - 15:45 (3g.),Zajęcia przeniesione na 15.05.2026r.,Zajęcia przeniesione na 15.05.2026r.,Zajęcia przeniesione na 15.05.2026r.,Zajęcia przeniesione na 15.05.2026r.
155,2026-04-27,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
156,2026-04-28,Wt 09:45 - 11:15 (2g.),Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008
157,2026-04-28,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
158,2026-04-28,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
159,2026-04-29,Śr 08:00 - 09:30 (2g.),Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008
160,2026-04-29,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
161,2026-04-29,Śr 13:15 - 14:45 (2g.),Information Systems,wykład,prof. UEK dr hab. Mariusz Grabowski,Paw.F 008
162,2026-04-29,Śr 15:00 - 16:30 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N
163,2026-04-29,Śr 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
164,2026-04-30,Cz 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
165,2026-04-30,Cz 13:15 - 14:45 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,link do zajęć
166,2026-04-30,Cz 13:15 - 14:45 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
167,2026-04-30,Cz 15:00 - 16:30 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,link do zajęć
168,2026-04-30,Cz 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
169,2026-05-04,Pn 09:45 - 11:15 (2g.),Computer Programming 2,wykład,dr Katarzyna Wójcik,Paw.F 008
170,2026-05-04,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
171,2026-05-04,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
172,2026-05-04,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
173,2026-05-04,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
174,2026-05-05,Wt 09:45 - 11:15 (2g.),Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008
175,2026-05-05,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
176,2026-05-05,Wt 13:15 - 14:45 (2g.),Probability and Statistics,Przeniesienie zajęć,prof. dr hab. Andrzej Sokołowski,
177,2026-05-05,Wt 13:15 - 14:45 (2g.),Zajęcia przeniesione na 06.05.2026r.,Zajęcia przeniesione na 06.05.2026r.,Zajęcia przeniesione na 06.05.2026r.,Zajęcia przeniesione na 06.05.2026r.
178,2026-05-05,Wt 15:00 - 16:30 (2g.),Discrete mathematics,wykład,dr Grzegorz Kosiorowski,Rakowicka 16 sala 11
179,2026-05-05,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
180,2026-05-06,Śr 08:00 - 09:30 (2g.),Probability and Statistics,ćwiczenia,prof. dr hab. Andrzej Sokołowski,"Paw.A 118 lab. Win10, Office21"
181,2026-05-06,Śr 08:00 - 09:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
182,2026-05-06,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
183,2026-05-06,Śr 15:00 - 16:30 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N
184,2026-05-06,Śr 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
185,2026-05-07,Cz 08:00 - 09:30 (2g.),Operating Systems and Computer Networks,wykład,prof. UEK dr hab. Joanna Wyrobek,link do zajęć
186,2026-05-07,Cz 09:45 - 11:15 (2g.),Information Systems,Przeniesienie zajęć,dr Agnieszka Niklewicz,
187,2026-05-07,Cz 09:45 - 11:15 (2g.),CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45
188,2026-05-07,Cz 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
189,2026-05-07,Cz 15:00 - 16:30 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,"Paw.A 07 lab. Win7, Office21"
190,2026-05-07,Cz 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
191,2026-05-07,Cz 16:45 - 18:15 (2g.),Information Systems,ćwiczenia,mgr inż. Justyna Olczak,Bibl.425
192,2026-05-07,Cz 16:45 - 18:15 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
193,2026-05-11,Pn 09:45 - 11:15 (2g.),Computer Programming 2,wykład,dr Katarzyna Wójcik,Paw.F 008
194,2026-05-11,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
195,2026-05-11,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
196,2026-05-11,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
197,2026-05-11,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
198,2026-05-12,Wt 09:45 - 11:15 (2g.),Probability and Statistics,Przeniesienie zajęć,prof. dr hab. Andrzej Sokołowski,
199,2026-05-12,Wt 09:45 - 11:15 (2g.),Zajęcia przeniesione na 02.06.2026r.,Zajęcia przeniesione na 02.06.2026r.,Zajęcia przeniesione na 02.06.2026r.,Zajęcia przeniesione na 02.06.2026r.
200,2026-05-12,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
201,2026-05-12,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
202,2026-05-13,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
203,2026-05-13,Śr 13:15 - 14:45 (2g.),Information Systems,wykład,prof. UEK dr hab. Mariusz Grabowski,Paw.F 008
204,2026-05-13,Śr 15:00 - 16:30 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N
205,2026-05-13,Śr 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
206,2026-05-14,Cz 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
207,2026-05-14,Cz 13:15 - 14:45 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.B 058 (KSB)
208,2026-05-14,Cz 13:15 - 14:45 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
209,2026-05-14,Cz 15:00 - 16:30 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,"Paw.A 07 lab. Win7, Office21"
210,2026-05-14,Cz 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
211,2026-05-14,Cz 16:45 - 18:15 (2g.),Information Systems,ćwiczenia,mgr inż. Justyna Olczak,Bibl.425
212,2026-05-14,Cz 16:45 - 18:15 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
213,2026-05-15,Pt 09:45 - 12:15 (3g.),Computer Programming 2,ćwiczenia zdalne,dr Katarzyna Wójcik,link do zajęć
214,2026-05-15,Pt 09:45 - 12:15 (3g.),CS gr 1 Zajęcia zdalne okazjonalne,CS gr 1 Zajęcia zdalne okazjonalne,CS gr 1 Zajęcia zdalne okazjonalne,CS gr 1 Zajęcia zdalne okazjonalne
215,2026-05-18,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
216,2026-05-18,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
217,2026-05-18,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
218,2026-05-18,Pn 18:30 - 20:00 (2g.),,lektorat,,Wybierz swoją grupę językową
219,2026-05-19,Wt 09:45 - 11:15 (2g.),Probability and Statistics,wykład,prof. dr hab. Andrzej Sokołowski,Paw.F 008
220,2026-05-19,Wt 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
221,2026-05-19,Wt 13:15 - 14:45 (2g.),Probability and Statistics,Przeniesienie zajęć,prof. dr hab. Andrzej Sokołowski,
222,2026-05-19,Wt 13:15 - 14:45 (2g.),Zajęcia przeniesione na 09.06.2026r.,Zajęcia przeniesione na 09.06.2026r.,Zajęcia przeniesione na 09.06.2026r.,Zajęcia przeniesione na 09.06.2026r.
223,2026-05-19,Wt 15:00 - 16:30 (2g.),Discrete mathematics,wykład,dr Grzegorz Kosiorowski,Rakowicka 16 sala 11
224,2026-05-19,Wt 18:30 - 20:00 (2g.),Business Law,wykład,dr Jacek Lachner,Rakowicka 16 sala 11
225,2026-05-20,Śr 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
226,2026-05-20,Śr 13:15 - 14:45 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,Paw.A 014 lab. Win8.1 Office21
227,2026-05-20,Śr 13:15 - 14:45 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
228,2026-05-20,Śr 15:00 - 16:30 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.U sala N
229,2026-05-20,Śr 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
230,2026-05-21,Cz 08:00 - 09:30 (2g.),Operating Systems and Computer Networks,wykład,prof. UEK dr hab. Joanna Wyrobek,Paw.F 008
231,2026-05-21,Cz 09:45 - 11:15 (2g.),Information Systems,Przeniesienie zajęć,dr Agnieszka Niklewicz,
232,2026-05-21,Cz 09:45 - 11:15 (2g.),CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45,CS gr 1 Zajęcia przeniesione na godz. 16:45
233,2026-05-21,Cz 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
234,2026-05-21,Cz 13:15 - 14:45 (2g.),Discrete mathematics,ćwiczenia,dr Igor Sikora,Paw.B 052 (KSB)
235,2026-05-21,Cz 13:15 - 14:45 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
236,2026-05-21,Cz 15:00 - 16:30 (2g.),Operating Systems and Computer Networks,ćwiczenia,prof. UEK dr hab. Joanna Wyrobek,"Paw.A 07 lab. Win7, Office21"
237,2026-05-21,Cz 15:00 - 16:30 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
238,2026-05-21,Cz 16:45 - 18:15 (2g.),Information Systems,ćwiczenia,mgr inż. Justyna Olczak,Bibl.425
239,2026-05-21,Cz 16:45 - 18:15 (2g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
240,2026-05-25,Pn 09:45 - 11:15 (2g.),Computer Programming 2,wykład,dr Katarzyna Wójcik,Paw.F 008
241,2026-05-25,Pn 11:30 - 13:00 (2g.),Foreign Language I,lektorat,,Wybierz swoją grupę językową
242,2026-05-25,Pn 13:15 - 15:45 (3g.),Computer Programming 2,ćwiczenia,dr Katarzyna Wójcik,"Paw.A 013 lab. Win10, Office21"
243,2026-05-25,Pn 13:15 - 15:45 (3g.),CS gr 1,CS gr 1,CS gr 1,CS gr 1
